what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1486680902994
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1486680902994
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1486680902994
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1486680902995
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1486680902996
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1486680902996
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1486680902996
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1486680902996
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1486680902996
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1486680902997
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1486680902997
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1486680902998
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1486680902998
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1486680902998
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1486680902999
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1486680902999
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1486680902999
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1486680902999
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1486680903000
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1486680903000
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1486680903000
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1486680903000
os,sysinfo,,,"linux",1486680903002
arch,sysinfo,,,"x86",1486680903002
ws,sysinfo,,,"gtk",1486680903002
locale,sysinfo,,,"en_US",1486680903002
processors,sysinfo,,,"8",1486680903003
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1486680903003
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1486680903003
java.specification.name,sysinfo,,,"Java Platform API Specification",1486680903003
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486680903003
java.specification.version,sysinfo,,,"1.6",1486680903003
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1486680903003
java.version,sysinfo,,,"1.6.0_23",1486680903003
java.vm.info,sysinfo,,,"mixed mode",1486680903003
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1486680903003
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1486680903003
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1486680903003
java.vm.specification.version,sysinfo,,,"1.0",1486680903003
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1486680903003
java.vm.version,sysinfo,,,"19.0-b09",1486680903003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1486680903988
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1486680904315
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1486680904355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486680906038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1486680906574
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1486680908355
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1486680908389
