what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1490892147979
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1490892147980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892148259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892209663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892211321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1490892242493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1490892242493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892242508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892242797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892243575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892245766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892246654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892249859
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1490892251717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1490892251718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892252060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892253580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892254336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892256402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490892257178
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490892260022
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1490892260055
